Index,Railway word/phrase - English,German (ÖBB),Hungarian (MAV),en2de,en2hu,de2en,de2hu,hu2en,hu2de
163,Operational restrictions,betriebliche Einschränkungen,Forgalmi korlátozás,Betriebsbeschränkungen,Működési korlátozások,operational restrictions,működési korlátozások,Traffic restriction,Verkehrsbeschränkung
164,Operational rules/priority rules,Priorisierungsregeln,Forgalmi szabályok,Betriebsregeln / Prioritätsregeln,Működési szabályok / elsőbbségi szabályok,prioritization rules,rangsorolási szabályok,Traffic rules,Verkehrsregeln
165,Operation difficulties,Betriebsstörung,Forgalmi nehézmény,Bedienungsschwierigkeiten,Működési nehézségek,breakdown,meghibásodás,Traffic difficulty,Verkehrsschwierigkeiten
166,Optional stop,Engpass,Feltételes megálló,Optionaler Stopp,Opcionális stop,bottleneck,palacknyak,Conditional stop,Bedingter Stopp
167,Out-of-gauge load,Außerhalb des Lademaßes,Űrszelvényen túlérő rakomány,Last außerhalb des Messbereichs,Méret nélküli terhelés,Outside the loading gauge,A rakománymérőn kívül,Cargo overload on gauge,Ladungsüberladung am Manometer
168,Overhead line,Fahrleitung,Felsővezeték,Oberleitung,Felsővezeték,catenary,láncolat,Catenary,Catenary
169,Overhead line failure,Fahrleitungsstörung,Felsővezetéki hiba,Ausfall der Freileitung,Felsővezeték meghibásodása,Catenary system,felsővezeték rendszer,Overhead line failure,Ausfall der Freileitung
170,Overhead line irregularity,Unregelmässigkeit an der Fahrleitung,Felsővezetéki zavar,Unregelmäßigkeit der Freileitung,A felsővezeték szabálytalansága,Irregularity on the overhead line,Szabálytalanság a felsővezetéken,Overhead line interference,Oberleitungsstörungen
171,Overhead line section,Fahrleitungssektor,Tápszakasz,Freileitungsabschnitt,Felsővezeték-szakasz,Catenary sector,felsővezeték szektor,Tápszakasz,Tápszakasz
172,Overhead line works,Fahrleitungsarbeiten,Felsővezetékes villamos üzemi munka,Freileitung funktioniert,A felsővezeték működik,Overhead wire,felsővezeték,Overhead electrical work,Overhead-Elektroarbeiten
173,Overloaded route,Überlastete Strecke,Túlterhelt útvonal,Überladene Route,Túlterhelt útvonal,Overloaded route,Túlterhelt útvonal,Overloaded route,Überladene Route
174,Pantograph,Stromabnehmer,Áramszedő,Pantograph,gólyaorr,pantograph,gólyaorr,pantograph,Pantograph
175,Park a train,Zug parken/hinterstellen,Vonat félreállítása,Parke einen Zug,Parkoljon egy vonatot,Park / hide the train,Parkolás / elrejtés a vonaton,Train set aside,Zug beiseite legen
176,Passengers,Reisende,Utasok,Passagiere,Az utasok,traveler,utazó,Passengers,Passagiere
177,Passenger coaches,Reisezugwagen,Személyszállító kocsik,Reisezugwagen,Utasok,coaches,edzők,Passenger cars,Personenkraftwagen
178,Passenger train,Personenzug,Személyszállító vonat,Personenzug,Utasszállító vonat,passenger Train,személyvonat,Passenger train,Personenzug
179,Personal Accident,Personenunfall,Személyi sérüléssel járó baleset,Persönlicher Unfall,Személyes baleset,personal accident,baleset,Personal injury accident,Personenschaden Unfall
180,Perturbation,Störung,Zavar,Störung,zavarkeltés,disorder,rendetlenség,Confusion,Störung
181,Perturbation axle counter,Achszählerstörungen,Tengelyszámláló zavara,Störachsenzähler,Perturbációs tengely számláló,Achszählerstörungen,Achszählerstörungen,Axle counter fault,Achszählerfehler
182,Platform,Bahnsteig,Peron,Plattform,Emelvény,platform,emelvény,deck,Deck
183,Platform length,änge des Perrons,Peronhossz,Plattformlänge,A platform hossza,Length of the Perron,A Perron hossza,platform length,Plattformlänge
184,Point or Point switch,Weiche,Kitérő,Punkt oder Punktschalter,Pont- vagy pontkapcsoló,switch,kapcsoló,Bypass,Bypass
185,Police operation,Polizeieinsatz,Rendőrségi szolgálat,Polizeieinsatz,Rendőrségi művelet,Police operation,rendőri művelet,Police service,Polizeidienst
186,Police regulations,Polizeivorschriften,Rendőrségi szabályok,Polizeivorschriften,Rendőrségi előírások,police regulations,rendőrségi előírások,Police Rules,Polizeiregeln
187,Power cut,Stromausfall,Áramszünet,Stromausfall,Áramkimaradás,Power failure,áramszünet,blackout,Blackout
188,Power failure,Spannungsausfall,Áramellátási zavar,Stromausfall,Áramkimaradás,power failure,áramszünet,Power failure,Stromausfall
189,Radio data transmission interruption,Datenfunkunterbruch,Rádió adatátviteli zavar,Unterbrechung der Funkdatenübertragung,Rádió adatátviteli megszakítás,Radio data transmission interruption,Rádiós adatátvitel megszakítása,Radio data interference,Funkdatenstörung
190,Rail Freight Corridor,Rail Freight Corridor,Vasúti áruszállítási folyosó,Schienengüterverkehrskorridor,Vasúti árufuvarozási folyosó,Rail Freight Corridor,Vasúti árufuvarozási folyosó,Rail freight corridor,Schienengüterverkehrskorridor
191,Railway Accident,Eisenbahnunfall,Vasúti baleset,Eisenbahnunfall,Vasúti baleset,Railway accident,Vasúti baleset,Railway accident,Eisenbahnunfall
192,Railway Undertaking,Eisenbahnverkehrsunternehmen,Vállalkozó vasúti társaság,Eisenbahnunternehmen,Vasúti vállalkozás,Railway transport companies,Vasúti közlekedési vállalat,Contractor railway company,Auftragnehmer Eisenbahngesellschaft
193,Refusal/reject,Weigerung/zurückweisen,Visszautasítás,Ablehnung / Ablehnung,Megtagadása / elutasítása,Refusal / reject,Megtagadása / elutasítása,rejection,Ablehnung
194,Release of hazardous substances,Freigabe von gefährlichen Stoffen,Veszélyes anyagok/áru szabadba kerülése,Freisetzung gefährlicher Stoffe,Veszélyes anyagok kibocsátása,Release of dangerous substances,Veszélyes anyagok kibocsátása,Dangerous goods / goods coming out,Gefahrgut / herauskommende Ware
195,Renumbering,Umnummerierung,Átszámozás,Umnummerierung,újraszámozás,renumbering,újraszámozást,renumbering,Umnummerierung
196,Replacement bus,Ersatzbus,Vonatpótló busz,Ersatzbus,Cserebusz,Replacement bus,csere busz,Train replacement bus,Zugersatzbus
197,Replacement locomotive,Ersatztriebfahrzeug,Segélymozdony,Ersatzlokomotive,Csere mozdony,Spare train,Tartalék vonat,aid Locomotive,Hilfe Lokomotive
198,Rescue service operation,Rettungseinsatz,Katasztrófavédelem,Rettungsdiensteinsatz,Mentési szolgálat,rescue Operation,mentési művelet,Disaster recovery,Disaster Recovery
199,Request for Actual Information about the Train,Anforderung über aktuelle Zugsinformation,Friss információ kérése a vonatról,Anfrage für aktuelle Informationen zum Zug,Tényleges információ kérése a vonattal kapcsolatban,Request for current train information,A vonat aktuális információinak kérése,Requesting fresh information about the train,Neue Informationen über den Zug anfordern
200,Request for Direct Communication Needed,Anforderung über direkte Kommunikation,Közvetlen kommunikáció kérése,Anfrage für direkte Kommunikation erforderlich,Közvetlen kommunikációs kérelem szükséges,Request via direct communication,Kérés közvetlen kommunikáció útján,Request for direct communication,Bitte um direkte Kommunikation
201,Rerouting of the Train,Umleitung eines Zuges,Változás az útvonalban,Umleitung des Zuges,A vonat átirányítása,Redirection of a train,A vonat átirányítása,Change the route,Ändern Sie die Route
202,Restricted speed running,eingeschränkte Laufgeschwindigkeit,Korlátozott sebességgel közlekedés,Geschwindigkeitsbeschränkung läuft,Korlátozott sebesség fut,limited running speed,korlátozott futási sebesség,Limited speed transport,Transport mit begrenzter Geschwindigkeit
203,Reversal of direction,Richtungsänderung,Visszafordulás,Richtungsumkehr,Irányváltás,change of direction,irányváltoztatás,Turning back,Umkehr
204,Rolling stock ,Wagenmaterial,Gördülő állomány,Fahrzeuge,Gördülőállomány,rolling stock,gördülőállomány,Rolling stock,Fahrzeuge
205,Route,Strecke,Útvonal,Route,Útvonal,route,útvonal,Route,Weg
206,Running in Advance,Vorsprungfahren,Korábban közlekedő,Laufen im Voraus,Előre futás,Take advantage,kihasználni,Previously traveling,Zuvor unterwegs
207,Running to schedule,"Engpass, Engstelle",Menetrendszerinti közlekedés,Laufen nach Zeitplan,Futás ütemezéssel,"Bottleneck, bottleneck","Szűk keresztmetszet, szűk keresztmetszet",Scheduled transport,Geplanter Transport
208,Run through,durchfahren in,Áthaladás,Durchlaufen,Végigmenni,drive through in,átmegy,passage,Durchgang
209,Run through the station,Durchfahrt im Bahnhof,Áthaladás az állomáson,Lauf durch die Station,Fuss az állomáson,Transit in the station,Tranzit az állomáson,Passing through the station,Durch den Bahnhof fahren
210,Section,Abschnitt,Szakasz,Sektion,Szakasz,section,rész,Platoon,Abschnitt
211,Security measures,Sicherungsmassnahmen,Biztonsági intézkedések,Sicherheitsmaßnahmen,Biztonsági intézkedések,safety measures,biztonsági intézkedések,Security measures,Sicherheitsmaßnahmen
212,Shunting,Verschub,Tolatás,Rangieren,Tolatási,shunting,tolató,shunt,Shunt
213,Shunting impact,Verschub-Anprall,Tolatási hatás/kihatás,Rangieraufprall,A tolatás hatása,Shunting-impact,Tolatás-hatás,Reversible effect / effect,Umkehrbarer Effekt / Effekt
214,Shunting yard,Verschubbahnhof,Rendező-pályaudvar,Rangierbahnhof,Shunting udvar,shunting,tolató,Marshalling,Rangierung
215,Signal,Signal,Jelző,Signal,Jel,signal,jel,marker,Marker
216,Signal single-track operation,Signal-eingleisiger Betrieb,Jelző egyvágányú üzemhez,Signal einspuriger Betrieb,A jelzés egyetlen sávos működése,Signal single-rail operation,Signál egysínű működés,Indicator for single track operation,Anzeige für einspurigen Betrieb
217,Signaller,Fahrdienstleiter,Forgalmi szolgálattevő,Signalgeber,híradó,Dispatchers,diszpécserek,Traffic Operator,Verkehrsbetreiber
218,Signalling Equipment Signal-Box,Stellwerk,Jelző berendezés,Signaleinrichtung Signal-Box,Jelzőberendezés jelződoboz,signal box,jelzőbódé,Signaling equipment,Signalausrüstung
219,Single-track,eingleisige Strecke,Egyvágányú pálya,Einspurig,Egyvágányú,single track route,egyetlen pálya útvonal,One track track,Einspuriger Track
220,Speed Limit,Geschwindigkeitsbeschränkung,Sebesség határ,erlaubte Höchstgeschwindigkeit,Sebességhatár,speed limit,sebességhatár,Speed limit,Geschwindigkeitsbegrenzung
221,Speed Restriction,Geschwindigkeitseinschränkung,Sebesség korlátozás,Geschwindigkeitsbegrenzung,Sebességkorlátozás,speed restriction,sebességkorlátozás,Speed limit,Geschwindigkeitsbegrenzung
222,Station,Bahnhof,Állomás,Bahnhof,Állomás,railway station,vasútállomás,Station,Station
223,Start station,Startbahnhof,Indító állomás,Station starten,Indító állomás,starting station,kezdőszelvény,Starting station,Startstation
224,Strike,Streik,Sztrájk,Streik,Sztrájk,strike,csapás,Strike,Streik
225,Supervised level crossing on site,Bahnübergang örtlich bewacht,Helyből kezelt sorompó,Überwachter Bahnübergang vor Ort,Felügyelt szintű kereszteződés a helyszínen,Railroad crossing guarded locally,Vasúti kereszteződés helyben,Locally managed barrier,Lokal verwaltete Barriere
226,Tail Lights,Schlusssignal,Zárjelző fény,Rückleuchten,Hátsó lámpák,final signal,végső jel,Lock light,Sperren Sie das Licht
227,Technical assistance,Fachdienst,Műszaki szakszolgálat,Technische Unterstützung,Technikai segítségnyújtás,Fachdienst,Fachdienst,Technical service,Technischer Service
228,Technical Inspection,Störung am Zug,Műszaki vizsgálat,Technische Überprüfung,Műszaki ellenőrzés,Disruption to the train,A vonat megzavarása,Technical inspection,Technische Inspektion
229,Technical Problems,technische Störung,Műszaki probléma,Technische Probleme,Technikai problémák,technical difficulties,technikai hiba,Technical problem,Technisches Problem
230,Technical stop,Technischer Stop,Műszaki okból történő megállás,Technischer Stopp,Műszaki okokból végzett leszállás,Technical stop,Műszaki megállás,Stopping for technical reasons,Anhalten aus technischen Gründen
231,Telecommunication network,Telekommunikations Netz,Távközlési hálózat,Telekommunikationsnetz,Távközlési hálózat,Telecommunications network,Távközlési hálózat,Telecommunication network,Telekommunikationsnetz
232,Temporary speed restriction,Zeitliche Geschwindigkeitseinschränkung,Ideiglenes sebesség korlátozás,Temporäre Geschwindigkeitsbegrenzung,Ideiglenes sebességkorlátozás,Temporal speed restriction,Időbeli sebességkorlátozás,Temporary speed restriction,Temporäre Geschwindigkeitsbegrenzung
233,Terminal,Terminal,Terminál,Terminal,Terminál,terminal,terminál,Terminal,Terminal
234,Terminus station,Endstation / Kopfbahnhof,Végállomás,Endstation,Terminus állomás,Terminus / terminus,Terminus / terminus,Terminus,Endstation
235,Through station,Durchfahrbahnhof,Középállomás,Durch die Station,Állomáson keresztül,Drive-through station,Áthajtásos állomáson,Central Station,Hauptbahnhof
236,Timetable,Fahrplan,Menetrend,Zeitplan,Órarend,timetable,menetrend,Timetable,Zeitplan
237,Timetable for trains,Fahrordnung für Züge,Vonatok menetrendje,Fahrplan für Züge,A vonatok menetrendje,Road rules for trains,Közúti szabályok a vonatok számára,Trains schedule,Zugfahrplan
238,Total closure,Strecken-Unterbrechung,Teljes kizárás,Totale Schließung,Teljes bezárás,Stretch-break,Stretch-break,Complete exclusion,Vollständiger Ausschluss
239,Tow/ to be towed,abgeschleppt werden,Vontatni/Vontatva,Abschleppen / abgeschleppt werden,Vontatás / vontatás,be towed,vontatni,Tow / towed,Tow / geschleppt
240,Towed load,Anhängelast,Vontatott rakomény,Geschleppte Ladung,Vontatott terhelés,towable,vontatható,Trailed stack,Geschleppter Stapel
241,To cancel security measures,Sicherungsmassnahmen aufheben,Biztonsági intézkedések érvénytelenítése,Sicherheitsmaßnahmen abbrechen,A biztonsági intézkedések törlése,Cancel security measures,Törölje a biztonsági intézkedéseket,Cancellation of security measures,Aufhebung von Sicherheitsmaßnahmen
242,To the arrival track,bis Zielgleis,Az érkező vágányra,Zur Ankunftsspur,Az érkezési pályára,to destination track,a célsávra,The arriving track,Die ankommende Strecke
243,Track,Gleis,Pálya,Spur,Vágány,track,vágány,court,Gericht
244,Track equipment,Gleisausstattung,Pályaberendezés,Ausrüstung verfolgen,Nyomkövető berendezések,railway equipment,A vasúti berendezések,course Equipment,natürlich Ausrüstung
245,Track irregularity,Unregelmässigkeit an der Fahrleitung,Pályahiba,Verfolgen Sie Unregelmäßigkeiten,A szabálytalanság követése,Irregularity on the overhead line,Szabálytalanság a felsővezetéken,track Error,Spur Fehler
246,Track Obstruction,Gleis-Sperre,Vágány lezárva,Hindernis verfolgen,A pálya akadályozása,Track Lock,sávzároló,Track closed,Track geschlossen
247,Track on rising gradient,Gleis mit Steigung,Emelkedő pálya,Spur auf steigender Steigung,Az emelkedő gradiens nyomon követése,Track with slope,A pálya lejtővel,Rising track,Steigende Spur
248,Track signal,Gleis Signal,Pálya melletti jelző,Signal verfolgen,Nyomjelzés,Track signal,Nyomjelzés,Track marker,Titelmarkierung
249,Track / switches / catenary damaged,Gleis/Weichen/Oberleitung beschädigt,Pálya/váltók/felsővezeték megsérült,Gleis / Weichen / Oberleitung beschädigt,A sín / kapcsolók / nyomaték sérült,Track / points / overhead line damaged,A pálya / pontok / felsővezeték sérült,The track / gear / overhead line is damaged,Das Gleis / Getriebe / die Oberleitung ist beschädigt
250,Traffic accident,Verkehrsunfall,Közlekedési baleset,Verkehrsunfall,Közlekedési baleset,traffic accident,közúti baleset,Traffic accident,Verkehrsunfall
251,Traffic density of a line,Verkehrsdichte einer Strecke,Egy vonal forgalomsűrűsége,Verkehrsdichte einer Linie,Egy vonal forgalmi sűrűsége,Traffic density of a route,Egy útvonal forgalmi sűrűsége,Traffic density of a line,Verkehrsdichte einer Linie
252,Train Cancellation,Zugausfall,Vonatlemondás,Zugstornierung,Vonat törlése,train cancellation,vonat törlés,train cancellations,Zugausfällen
253,Train Crew,Zugmannschaft,Vonatszemélyzet,Zugbesatzung,Vonatszemélyzet,train crew,vonatszemélyzet,train Staff,Zugpersonal
254,Train Delay,Zugverspätung,Vonatkésés,Zugverspätung,Vonat késése,train delay,A vonat késésének,train Delay,Zug Verspätung
255,Train number,Zugnummer,Vonatszám,Zugnummer,Vonat száma,Train number,Vonat száma,train No.,Zug Nr
256,Train path,Zugfahrplan,Menetvonal,Zugweg,Vonatútvonal,Train schedule,Vonat menetrend,Path,Weg
257,Train priority order,Zugpriorisierung,Vonatok fontossági sorrendje,Reihenfolge der Zugprioritäten,A vonat elsőbbségi sorrendje,Zugpriorisierung,Zugpriorisierung,The order of importance of trains,Die Reihenfolge der Bedeutung der Züge
258,Train Run Interrupted,Zuglauf unterbrochen,Vonatközlekedés megszakítva,Zugfahrt unterbrochen,A vonat futása megszakadt,Traction interrupted,A vontatás megszakadt,Train Interrupted,Zug unterbrochen
259,Train Running in Advance,Zug fährt mit Vorsprung,Korábbi vonatközlekedés,Train Running im Voraus,A vonat előre halad,Train drives ahead,A vonat előre halad,Previous train service,Vorheriger Zugservice
260,Train Speed Restriction,Geschwindigkeitseinschränkung des Zuges,Vonat sebességének korlátozása,Geschwindigkeitsbegrenzung,Vonat sebességkorlátozása,Speed restriction of the train,A vonat sebességkorlátozása,Limiting train speed,Begrenzung der Zuggeschwindigkeit
261,Trains to be kept by the previous IM,Zug auf Abruf beim vorangegangenen IB,A vonatoknak az átadó PV-nál kell maradni,Züge müssen vom vorherigen IM gehalten werden,"Vonatok, amelyeket az előző IM-nek meg kell tartania",Train on call at the previous IB,Vonat a korábbi IB-n,Trains must stay at the transfer PV,Die Züge müssen bei der Übergabe PV bleiben
262,Trains to be re-routed,Zug müssen umgeleitet werden,Más útvonalon közlekedtetendő vonatok,Züge müssen umgeleitet werden,"Vonatok, amelyeket át kell irányítani",Train must be diverted,A vonatot át kell irányítani,Trains to be operated on other routes,"Züge, die auf anderen Strecken verkehren sollen"
263,UN number,UN-Nummer,Veszélyességi szám,UN-Nummer,ENSZ-szám,UN number,UN-szám,Hazard number,Gefahrennummer
264,User interface,Bedienoberfläche,Felhasználói felület,Benutzeroberfläche,Felhasználói felület,user interface,A felhasználói felület,User interface,Benutzeroberfläche
265,Vehicle,Fahrzeug,Jármű,Fahrzeug,Jármű,vehicle,jármű,Vehicle,Fahrzeug
266,Vehicle circulating as exceptional transport,Fahrzeug als aussergewöhnliche Sendung,Rendkívüli küldeményként közlekedő jármű,Fahrzeug als Ausnahmetransporter im Umlauf,Kivételes közlekedésként közlekedő jármű,Vehicle as an exceptional consignment,Jármű kivételes szállítmányként,Extraordinary shipment vehicle,Außergewöhnliches Transportfahrzeug
267,Vehicles ran away,Fahrzeuge entrollt,Megfutamodott járművek,Fahrzeuge rannten davon,A járművek elfutottak,Vehicles unrolled,A járművek lekerekítettek,Running vehicles,Laufende Fahrzeuge
268,Wagon,Waggon,Kocsi,Wagen,Vasúti kocsi,wagon,kocsi,Car,Auto
269,Weight,Gewicht,Súly,Gewicht,Súly,mass,súly,Weight,Gewicht
270,Wheather conditions,Wetterbedingungen,Időjárási körülmények,Wetterbedingungen,Időjárás,Weather conditions,időjárási viszonyok,Weather conditions,Wetterbedingungen
271,Wheel flat,Flachstelle,Lapos kerék,Rad flach,Kerék lapos,flat spot,lapos terület,Flat tire,Flaches Rad
272,Work area,Arbeitsstelle,Munkaterület,Arbeitsbereich,Munkaterület,place of work,munka,Work place,Arbeitsplatz
